code_sage;nom;prix_unitaire;stock_disponible;
FUROSE_10//_AM_IV;Furosémide 20 mg/ 2 ml, ampoule;.000000;.000000;
FUROSE_4///_SP_OR;Furosémide 20mg/5ml sirop;.000000;.000000;
FUSPOU_25G////_//;Fuschine poudre, fl/25 g;.000000;.000000;
FUSSOL_1000ML/_//;Fuschine solution 1000 ml;.000000;.000000;
FUSPHE_205/_//_//;Fuschisne Phéniqué f/250 ml;.000000;.000000;
FUSHI/_BASIQUE_//;Fushine Basique /Unité;.000000;.000000;
GANCIC_250/_CP_OR;Ganciclovir 250mg Comprimé;.000000;.000000;
GANCIC_500/_CP_OR;Ganciclovir 500mg Comprimé;.000000;.000000;
GANCHI_7UU////_CU;Gants Chirurgicaux, Stériles, Usage Unique, taille 7, paire;184.700000;.000000;
GANCHI_7.5UU//_CU;Gants Chirurgicaux, Stériles, Usage Unique, taille 7.5, paire;264.000000;2836.000000;
GANCHI_8UU////_CU;Gants Chirurgicaux, Stériles, Usage Unique, taille 8, paire;237.600000;.000000;
GANCHI_8.5UU//_CU;Gants Chirurgicaux, Stériles, Usage Unique, taille 8.5, paire;184.700000;.000000;
GANEXA_7-8UUN/_CU;Gants d'Examen, nitrite (7-8) Medium;.000000;.000000;
GANEXA_8-9UUN/_CU;Gants d'Examen, nitrite (8-9) Medium;.000000;.000000;
GANEXA_6-7UU//_CU;Gants d'Examen, Non Stérile, Usage Unique Taille Medium (6-7);184.700000;.000000;
GANEXA_7-8UU//_CU;Gants d'Examen, Non Stérile, Usage Unique Taille Medium (7-8);46.200000;39700.000000;
GANEXA_8-9UU//_CU;Gants d'Examen, Non Stérile, Usage Unique, Taille Large (8-9) ;85.800000;48500.000000;
GARELA_18MM///_//;Garrot Elastique largeur(Tourniquette) 18mm;4191.000000;.000000;
GAVISC_10//_SP_OR;Gaviscon Susp 10ML Sach, B/24;2042.400000;.000000;
GAZHYD_10X5///_CU;Gaze Hydrophile, Compresse, Non Stérile, 10 x 5 cm;118.800000;.000000;
GAZHYD_10X10//_CU;Gaze Hydrophile, Compresse, Stérile, 10 x 10 cm, 4 plis (40 x 40 dépl;79.200000;.000000;
GAZHYD_65X100/_CU;Gaze Hydrophile, Rouleau, Non Stérile, 65 cm x 100 m;10527.000000;.000000;
GAZHYD_90X91//_CU;Gaze Hydrophile, Rouleau, Non Stérile, 90 cm x 91 cm;13127.000000;.000000;
GEANBA_500////_SC;Gel antibactérien Fl/500 ml;.000000;.000000;
GEHYAL_500////_SC;Gel hydro alcoolique Fl/500 ml;6600.000000;.000000;
GELLUB_20MLTUB_CU;Gel Lubrifiant 20ml, Tube;.000000;.000000;
GELLUB_SACHET/_CU;Gel lubrifiant sachet;.000000;.000000;
GELLUB_TUBE///_CU;Gel lubrifiant tube;.000000;.000000;
GELECH_1L/////_SC;Gel pour échographie, 1l;5874.000000;.000000;
GELECH_250////_SC;Gel pour échographie, 250 ml;990.000000;.000000;
GELOFU_4%//_SI_IV;Gelofusine Inj 4%, Fl/500ML;3946.800000;.000000;
GELOPL_40//_SF_IV;Geloplasma;3946.800000;.000000;
GENHIV_440TEST_//;Generic HIV Charge Virale CE Test, kit 440;.000000;.000000;
GENEXPHIV1//_VLVC;GeneXpert HIV-1 VL-CE;.000000;.000000;
GENXPE_4MOD///_TB;Genexpert IV R2 4 modules, configuration D;.000000;.000000;
GENEXP_///////_//;Genexpert, X pert, Cartridges, MTB/RIF;.000000;.000000;
GENPAR_1000_SI_IV;Genpar Inj IV 1000MG, FL/100ML;1168.400000;.000000;
TESTELISAHIV_4TS/;Genscreen Ultra HIV Ag/Ab;.000000;.000000;
GENTAM_20//_SI_IV;Gentamicine 20mg/ml injection;.000000;.000000;
GENTAM_40//_SI_IV;Gentamicine 40mg/ml injection ;.000000;.000000;
GENTAM_80//_SI_IV;Gentamicine 80mg/ml injection   ;85.800000;36887.000000;
GENTAM_0.3%_PM_OC;Gentamycine 0,3% Pommade ;.000000;.000000;
GENTAM_10//_CO_OC;Gentamycine Collyre, 10 mg/ml, 10ml, Flacon Collyre;462.000000;16462.000000;
GENHIV_10TESTS_//;GenXpert HIV-1, QUAL CE-IVD;.000000;.000000;
GIEMRA_250/_//_//;Giemsa Rapide f/250 ml;.000000;.000000;
GIESTAMODSOL_500M;Giemsa stain modified solution (contain methanol) f/500ml;.000000;.000000;
GLIBEN_2.5/_CP_OR;Glibenclamide 2,5mg comprimé;.000000;.000000;
GLIBEN_5///_CP_OR;Glibenclamide 5 mg, sous blister,  Comprimés;2.900000;.000000;
GLICLA_30//_CP_OR;Gliclazide 30mg comprimé;.000000;.000000;
GLUURI_25/////_//;Glucomètre Urit-25;.000000;.000000;
GLUCOS_5%//_SF_IV;Glucose (Dextrose) 5% 500 ml, Perf.;759.000000;14975.000000;
GLUCOS_10%2_SF_IV;Glucose 10%/250ml Solution ;.000000;.000000;
GLUCOS_10%5_SF_IV;Glucose 10%/500ml Solution ;687.260000;.000000;
GLUCOS_30%5_SF_IV;Glucose 30%/500ml Solution ;.000000;.000000;
SODGLU_5.9%_SF_IV;Glucose 5% + Sodium Chlorure 0.9% 500ml, Perf.;766.450000;.000000;
GLUCOS_5%25_SF_IV;Glucose 5%/250ml Solution ;550.000000;.000000;
GLYCEM_200L///_//;Glycerine 200 Litres;.000000;.000000;
GOGPRO_///////_//;Goggles, Protective, indirect side venti;.000000;.000000;
GONAOVAR_SHIEL///;Gonad/Ovarian Shield;.000000;.000000;
GOSERE_10.8_SI_IV;Gosereline 3,6mg injection;.000000;.000000;
GOSERE_3.6/_SI_IV;Gosereline 3,6mg injection;.000000;.000000;
GOWISO_///////_//;Gown Isolation (sur blouse);.000000;.000000;
GOWISO_NWL////_CU;Gown, isolation, nonwoven disp.L;.000000;.000000;
GOWISO_NWXL///_CU;Gown, isolation, nonwoven, disp, XL;.000000;.000000;
GRISEO_500/_CP_OR;Griséofulvine 500mg Comprimé;59.400000;.000000;
SERUMABABD//_SANG;Groupakit (5x10 ml);.000000;.000000;
GENMTB_96/////_//;GXT NA Extraction kit CE/IVD;.000000;.000000;
HAIRCOV_///////_//;Hair cover;.000000;.000000;
HALOPE_5///_CP_OR;Halopéridol 5 mg, Comprimés;4.220000;.000000;
HALOTA_250/_AM_PU;Halotane pour anesthésie 250ml, flacon;15794.000000;.000000;
HALOTH_250/_SH_OR;Halothane 250ml inhalation;.000000;.000000;
HANDDISINFEC_1000;Hand disinfectant, 1000ml;.000000;.000000;
TESTHBSAG2//_SET/;HBsAg 2 set;.000000;.000000;
HEPARI_2KU/_AI_IV;Héparine non fractionnée sodique 20 000UI/ml injection;.000000;.000000;
HEPARI_5JU/_AI_IV;Héparine non fractionnée sodique 5 000UI/ml injection;.000000;.000000;
HETTREFR_380ROTOR;HETTICH REFRIGERATED BENCH TOP CENTRIFUGE ROTINA 380R w/o ROTOR;.000000;.000000;
TESTHIV1-2AG_4GEN;HIV 1/2 Ag/Ab test, 4è génération;.000000;.000000;
HOSPBEDS_INTCAMEC;Hospital beds, intensive care, mecanical;.000000;.000000;
HUILIM_100ML//_//;Huile à immersion 100 ml;.000000;.000000;
HUILIM_50ML///_//;Huile à immersion 50 ml;.000000;.000000;
IMMERS_////_//_//;Huile à Immersion f/100 ml;.000000;.000000;
HUILE/_IMMERVM_//;Huile à immersion V.M/Unité;.000000;.000000;
HUICAM_100/_CR_CU;Huile Camphree 100ML Ruther;1802.050000;.000000;
HUMTBC_///////_//;Humaloop Tuberculosis MTBC;.000000;.000000;
HUMANLT50-60_230/;Humanlop T 50/60 Hz, 230 VA;.000000;.000000;
HYCMOL_100ML//_//;Hyclone Molecular Biology grade water Fl. 1;.000000;.000000;
HYDROC_25//_CP_OR;Hydrochlorothiazide 25mg comprimé;.000000;.000000;
HYDROC_50//_CP_OR;Hydrochlorothiazide, 50 mg, Comprimés;2.270000;.000000;
HYDROC_1%//_CR_CU;Hydrocortisone 1% crème;.000000;.000000;
HYDROC_100/_SI_IV;Hydrocortisone 100mg/Flacon injection;167.240000;.000000;
HYDROC_10//_CP_OR;Hydrocortisone 10mg comprimé;.000000;.000000;
HYDROC_20//_CP_OR;Hydrocortisone 20mg comprimé;.000000;.000000;
HYDROC_5///_CP_OR;Hydrocortisone 5mg comprimé;.000000;.000000;
HYDRSU_100/_AM_IV;Hydrocortisone Succinate Sodique PPI 100 mg, vial;167.240000;.000000;
HYDROX_100/_CP_OR;Hydroxychloroquine 100 mg cp;.000000;.000000;
HYDCHL_200/_CP_OR;Hydroxychloroquine 200mg comprimé;.000000;.000000;
MAGNHY_500/_CP_OR;Hydroxyde de Magnésium 500mg comprimé;.000000;.000000;
MAGNHY_55//_GL_PE;Hydroxyde de Magnésium 550mg/10ml gel en sachet;.000000;.000000;
SODIHY_250/_CP_OR;Hyposulfate de Sodium 250 mg comprimé;.000000;.000000;
SODIHY_250/_SI_50;Hyposulfate de Sodium 250mg/ml/50ml injection;.000000;.000000;
IBUPAR_220/_SP_OR;Ibupar (Ibuprofène + Paracétamol) suspension, fl/100ml;957.000000;1000.000000;
IBUPRO_20//_SP_OR;Ibuprofène 100mg/5ml sirop;.000000;.000000;
IBUPRO_400/_CP_OR;Ibuprofène 400 mg, sous blister, Comprimés;19.800000;264030.000000;
IFOSFA_1000_SI_IV;Ifosfamide 1g/ampoule injection;.000000;.000000;
IMATIN_100/_CP_OR;Imatinib 100mg comprimé;.000000;.000000;
IGHBS/_100U_SI_IM;Immunoglobuline anti HBS 100UI injection;.000000;.000000;
IGHBS/_150U_SI_IM;Immunoglobuline anti HBS 150UI injection;.000000;.000000;
IGHUDI_100B_SI_IM;Immunoglobuline Humaine Anti D 200microgrammes/2ml injection;.000000;.000000;
IGHUDI_150B_SI_IM;Immunoglobuline Humaine Anti D 300microgrammes/2ml injection;.000000;.000000;
IGVHB/_100U_SI_IM;Immunoglobulines  IG anti VHB 100UI injection;.000000;.000000;
IGHURA_150U_SI_IM;Immunoglobulines antirabique 150UI/ampoule injection;.000000;.000000;
IGHUTE_500U_SI_IM;Immunoglobulines antitétanique humaine 500UI/ampoule injection;.000000;.000000;
IMPLAN_68//_IP_SC;Implanon NXT (Etonogestre) 68mg, implant;650.000000;.000000;
INCUBATO_30L/////;Incubator, 30L, upto 80C;.000000;.000000;
INDINA_400/_CP_OR;Indinavir 400mg Comprimé;.000000;.000000;
INOCULAT_10BL200M;Inoculation loop 10µL, 200mm;.000000;.000000;
INOSMO_0.1%_CO_OC;Inosinemonophosphate 0,1% Collyre;.000000;.000000;
INSACT_100U_AM_IM;Insuline ACTRAPID HM 100 UI / ml, flacon de 10 ml;2900.000000;.000000;
INSINT_100U_SI_10;Insuline humaine action intermédiaire 100UI/ml/10ml injection;.000000;.000000;
INSRAP_100U_SI_10;Insuline humaine action rapide 100UI/ml/10ml injection;.000000;.000000;
INSPRE_100U_SI_10;Insuline humaine prémélangée (prémixte) 100UI/ml/10ml injection;.000000;.000000;
INSULA_100U_AM_10;Insuline INSULATARD HM 100 UI / ml, flacon de 10 ml;2900.000000;.000000;
INSMIX_100U_AM_10;Insuline MIXTARD 30/70 HM 100 UI / ml, flacon de 10 ml;2900.000000;.000000;
INTEPE_180U_SI_IV;Interféron Peguylé 180UI injection;.000000;.000000;
LOPAMI_30//_SI_IV;Iopamidol  300mg/10ml injection;.000000;.000000;
LOPAMI_20//_SI_IV;Iopamidol 200mg/10ml injection;.000000;.000000;
LOPAMI_37//_SI_IV;Iopamidol 370mg/10ml injection;.000000;.000000;
IPECA/_0.14_SP_OR;Ipeca 0,14%  sirop;.000000;.000000;
IRINOT_20//_SI_IV;Irinotecan 40mg/2ml injection;.000000;.000000;
ISOCLE_IC270BL_//;IsoClean Kittel, Model IC 270 B, size L;.000000;.000000;
ISOCLE_IC270BM_//;IsoClean Kittel, Model IC 270 B, size M;.000000;.000000;
ISOCLE_IC270BS_//;IsoClean Kittel, Model IC 270 B, size S;.000000;.000000;
ISOFLU_////_SH_OR;Isoflurane Fl/250ml inhalation;33000.000000;.000000;
ISOGOW_LEVEL2L_CU;Isolation Gown level 2, Large ;.000000;.000000;
ISONIA_100/_CP_OR;Isoniazide 100mg Comprimé;.000000;.000000;
ISONIA_150/_CP_OR;Isoniazide 150mg Comprimé;.000000;.000000;
ISONIA_300/_CP_OR;Isoniazide 300 mg, Comprimés;.000000;.000000;
ISONIA_50//_CP_OR;Isoniazide 50mg Comprimé;.000000;.000000;
ISOPRE_0.2/_AI_IV;Isoprenaline 0,2mg/ml injection;.000000;.000000;
IVERME_3///_CP_OR;Ivermectine 3mg comprimé;.000000;.000000;
JADELL_150/_IP_SC;Jadelle 2 x 75 mg, kit de 2 (Norplant nouvelle formule);650.000000;.000000;
JERTUB_25X0.20_CU;Jersey Tubulaire 0,20 m X 25 m;.000000;.000000;
KANAMI_1000_SI_IV;Kanamicine 1g Injection;.000000;.000000;
KETAMI_50//_AM_IV;Kétamine 50 mg/ml , 500 mg /10 ml, vial;2376.000000;1140.000000;
KITACC_///////_//;Kit Accouchement;3800.000000;20.000000;
KITBI/_///////_//;Kit Bubon Inguinal (BI);.000000;.000000;
KITCES_///////_//;Kit Cesariénne;29000.000000;.000000;
KIBEBE_///////_//;Kit de bec bensen;.000000;.000000;
KITCDA_AURACHI_//;Kit de consom. de Diagnostic Auramine Chimiques;.000000;.000000;
KITCDA_AURADIS_//;Kit de consom. de Diagnostic Auramine Disposable;.000000;.000000;
KITCDA_AURA-ZN_//;Kit de consom. de Diagnostic Auramine ZN;.000000;.000000;
KITCDA_AURA-ZN_ST;Kit de consom. de Diagnostic Auramine ZN Standard;.000000;.000000;
KITCDC_CHIM-ZN_//;Kit de consom. de Diagnostic Chimiques ZN Standard;.000000;.000000;
KITCDJ_JETA-ZN_//;Kit de consom. de Diagnostic jetables ZN Standard;.000000;.000000;
KITDBS_PRELEVE_//;Kit de prélèvement DBS;.000000;.000000;
KITSYP_///////_//;Kit de Syphilis;.000000;.000000;
KITEXT_///////_//;Kit d'extraction des acides nucléiques;.000000;.000000;
KITDAB_///////_//;Kit Douleur Abdominale Basse chez la Femme (DAB);.000000;.000000;
KITEU/_///////_//;Kit Ecoulement Urétral (EU);.000000;.000000;
KITEV/_///////_//;Kit Ecoulement Vaginal (EV);.000000;.000000;
KITHYG_///////_//;Kit Hygénique;.000000;.000000;
KITUGV_///////_//;Kit Syndrome d'Ulcération Génitale + Herpes (UGV);.000000;.000000;
KITTS/_///////_//;Kit Tuméfaction du Scotum (TS);.000000;.000000;
KITUG/_///////_//;Kit Ulcération Génitale (UG);.000000;.000000;
KITTIN_CARTONN_//;Kitting Cartonné;.000000;.000000;
LAMBIS_UU23///_//;Lame de Bistouri, Stérile, Usage Unique  n°4  n°23;53.000000;5028.000000;
LAPOOB_///////_//;Lame Porte Objet;34.160000;.000000;
LACOOB_///////_//;Lamelles Couvre objets;10.000000;66900.000000;
LAPOOB_////_//_//;Lames porte Objet Programme, B/50;.000000;.000000;
LAMIVU_150/_CP_OR;Lamivudine 150mg Comprimé;.000000;.000000;
LAMIVU_300/_CP_OR;Lamivudine 300mg Comprimé;.000000;.000000;
LAMIVU_10//_SP_24;Lamivudine 50 mg/5 ml, flaon de 240 ml;.000000;.000000;
LAMIVU_10//_SP_10;Lamivudine 50 mg/5ml solution orale FL/100 ml;.000000;.000000;
LAMIVU_50//_SP_OR;Lamivudine 50mg/ml sirop;.000000;.000000;
LAMABA_90//_CP_OR;Lamivudine+Abacavir 30+60mg Comprimé;.000000;.000000;
LAMMEL_22-22_/_//;Lammelle 22/22  B/100;984.000000;.000000;
LANCET_POINTEF_//;Lancettes à pointes fines;.000000;.000000;
LANCET_GLY////_//;Lancettes à pointes fines glycemie, B/50;.000000;.000000;
LASILI_20//_SI_IV;Lasilix 20MG/2ML INJ AMP/1;470.350000;.000000;
LASFAI_20//_CP_OR;Lasilix Faible 20MG CP, B/30;1294.900000;.000000;
LENOGA_33.6_AI_IV;Lenogastim 33,6MUI injection;.000000;.000000;
LEVCAR_110/_CP_OR;Lévodopa + Carbidopa 100+10mg comprimé;.000000;.000000;
LEVCAR_275/_CP_OR;Lévodopa + Carbidopa 250+25mg comprimé;.000000;.000000;
LEVBEN_125/_GE_OR;Levodopa LP + Benserazide 100mg + 25mg gélule;.000000;.000000;
LEVOFL_500/_CP_OR;Lévofloxacine 500mg Comprimé;.000000;.000000;
LEETFE_255/_CP_OR;Levonorgestrel + Ethinylestradriol + Fer 150/30/75 mg Comp;45.000000;.000000;
LEETFU_0.18_CP_OR;Levonorgestrel 0,15mg + Ethinylestradriol 0.03 mg Comp;59.000000;.000000;
LEVONO_30B/_CP_OR;Levonorgestrel 30 microgra (Microlut 3cycles);800.000000;.000000;
LEVONO_150/_IP_CU;Levonorgestrel 75mg x 2 Implant ;650.000000;.000000;
LEVOPR_100/_CP_OR;Lévopromazine 100mg comprimé;.000000;.000000;
LEVOPR_25//_CP_OR;Lévopromazine 25mg comprimé;.000000;.000000;
LEVOTH_100B_CP_OR;Levothyroxine 100 microgrammes comprimé;.000000;.000000;
LEVOTH_50B/_CP_OR;Levothyroxine 50 microgrammes comprimé;.000000;.000000;
LIDBUCKE_380-380R;LID FOR BUCKET ( bioseal) (rotina 380/380R) set of 4;.000000;.000000;
LIDADR_1%50_SI_IV;Lidocaïne + Adrénaline 1%/50ml injection;.000000;.000000;
LIDADR_2%50_SI_IV;Lidocaïne + Adrénaline 2%/50ml injection;.000000;.000000;
LIDEPI_3.8%_SI_IV;Lidocaine + Epinéphrine 2% + 1,8% Injection cartouche dentaire;260.450000;.000000;
LIDEPI_2%//_CA_IV;Lidocaine + Epinéphrine 2% Injection capsule dentaire;.000000;.000000;
LIDEPI_2%//_AM_IV;Lidocaine + Epinéphrine 2% Injection cartouche dentaire;.000000;.000000;
LIDEPI_2%1._AM_IV;Lidocaïne + Epinephrine,usage dentaire 2%, 1.8 ml 36 mg / 1.8ml,  via;260.450000;.000000;
LIDGLU_12.5_AM_IV;Lidocaïne + Glucose, hyperbare 5 + 7.5% 2 ml, ampoule;80.520000;.000000;
LIDOCA_1%//_SI_50;Lidocaïne 1% 50ml injection;.000000;.000000;
LIDOCA_2%//_SI_50;Lidocaïne 2%, 50 ml 1 g / 50 ml, vial;1716.000000;.000000;
LIDNAP_5%//_SO_OR;Lidocaïne à la Naphtazoline 5% Solution;.000000;.000000;
LIDOCA_5%//_GL_1I;Lidocaïne visqueuse 5% tube de 100g Gel;.000000;.000000;
LIMBAT_4200MAH/;Li-MnO2 battery (4200mAh);.000000;.000000;
LINDAN_1%//_CR_CU;Lindane Crème 1%;.000000;.000000;
LIPSOV_500/_CP_OR;Lipsovir 500mg comprimé;.000000;.000000;
LIPSOV_800/_CP_OR;Lipsovir 800mg comprimé;.000000;.000000;
LITACO_////_CP_OR;Litacold Comprimé, B/20X4;3939.900000;.000000;
LITACO_100/_SP_OR;Litacold Sirop Fl, 100Ml;1196.000000;.000000;
LIVREJOURN_COMMIS;Livre journal de commis;2000.000000;.000000;
LOPERA_2///_GE_OR;Lopéramide 2mg gélule;.000000;.000000;
LOPECH_2///_CP_OR;Lopéramide Chlorhydrate, 2 mg, Comprimés;6.220000;.000000;
LOPINA_200/_CP_OR;Lopinavir 200mg Comprimé;.000000;.000000;
LOPRIT_300/_SP_OR;Lopinavir/ritonavir 20mg/80mg/ml sirop 300ml;.000000;.000000;
LOPRIT_166._CP_OR;Lopinavir+Ritonavir (133,3 + 33,3)mg Comprimé;.000000;.000000;
LOPRIT_250/_CP_OR;Lopinavir+Ritonavir (200mg + 50)mg Comprimé;.000000;.000000;
LOPRIT_50//_CP_OR;Lopinavir+Ritonavir (40mg + 10)mg Comprimé;.000000;.000000;
LOPRIT_125/_CP_OR;Lopinavir+Ritonavir 100/25 MG CP (ALUVIA JUNIOR);.000000;.000000;
LOPRIT_100/_SP_OR;Lopinavir+Ritonavir 80mg + 20mg/5ml Comprimé;.000000;.000000;
LOVENO_6000_AM_IV;Lovenox 6000UI SINJ SER/2;9140.200000;.000000;
LOXEN/_10//_SI_IV;Loxen 10MG/10ML Inj, AMP/5;6878.150000;.000000;
LUBRIF_4.3M_GL_PC;Lubrifiant acqueux 4,3 ml, Sachet;.000000;.000000;
LUBRIF_IANT///_//;Lubrifiants;.000000;.000000;
LUGOLR_////_//_//;Lugol Fort, Iodine, 200ml;3700.000000;.000000;
LUMOPER318B4_////;Lumocolor permanent pen 318, black, 4 pc With 1 refill;.000000;.000000;
MACROG_4000_PO_10;Macrogol 4000 10mg Poudre orale;.000000;.000000;
MAGNES_KIT////_//;Magnesium (Chronolab);.000000;.000000;
MAGNSU_50%/_AM_IV;Magnésium Sulfate, 50%, 10ml, 50mg/10ml, ampoule;694.060000;.000000;
MANNIT_10%/_SF_IV;Mannitol 10% 500 ml, Perf.;1629.800000;.000000;
MANNIT_10%5_SF_IV;Mannitol 10%/500ml injection;.000000;.000000;
MANNIT_20%/_SI_IV;Mannitol 20% injection;.000000;.000000;
MASKSU_TYPEIIR_//;Mask Surgic, Type IIR, Tiestrap;.000000;.000000;
MASKSH_FFP2N95_//;Masks FFP2 (N95) - 3M 9320;.000000;.000000;
MASFAC_FFP2UU/_//;Masque facial FFP2, Usage Unique;.000000;.000000;
MASFAC_UU/////_//;Masque facial, Usage Unique;.000000;.000000;
MASTYP_N94////_//;Masque type n°94;.000000;.000000;
MASQUE_CHIRURG_//;Masques Chirurgicaux;.000000;.000000;
MEBEND_100/_SP_OR;Mébendazole  100 mg / 5 ml  flacon de 30 ml;264.000000;.000000;
MEBEND_2%//_SP_OR;Mébendazole 100 mg / 5 ml  flacon de 100 ml;435.600000;.000000;
MEBEND_100/_CP_OR;Mébendazole 100 mg, sous blister, Comprimés;29.040000;.000000;
MEBEND_500/_CP_OR;Mébendazole 500 mg Comprimé;.000000;.000000;
MECTIZ_3MG/_CP_OR;Mectizan 3 mg, comp;.000000;.000000;
COMBI/_////_//_//;Medi Test Combi II (Cybow);.000000;.000000;
MEDPRO_GOGGLE/_CU;Medical Protective Goggle;.000000;.000000;
MASKMP_MEDICAL_//;Medical Protective Mask;.000000;.000000;
MASMED_SURGIC/_//;Medical surgical mask;.000000;.000000;
PROGME_104/_AM_SC;Médroxyprogesterone Acétate 104mg/0.65ml;72.600000;.000000;
MENTHO_100/_CR_CU;Mentholatum DEEP HEAT POM/100G;3159.050000;.000000;
MEPROB_400/_CP_OR;Méprobamate 400mg comprimé;.000000;.000000;
MESNA/_100/_SI_IV;Mesna 100mg/ml/4ml injection;.000000;.000000;
MESNA/_600/_CP_OR;Mesna 400mg comprimé;.000000;.000000;
METAMI_500/_SI_IV;Métamizole 500mg/5ml ,ampoule;132.000000;9805.000000;
METANI_0.5/_SI_IV;Metanizole 2,5g/5ml injection;.000000;.000000;
METFOR_500/_CP_OR;Métformine 500mg comprimé;15.180000;.000000;
METHOT_25//_CP_OR;Méthotrexate 25mg comprimé;.000000;.000000;
METHOT_25//_SI_IV;Méthotrexate 25mg injection;.000000;.000000;
PREDME_10//_SI_IV;Méthyl prednisolone 20mg/2ml injection;.000000;.000000;
PREDME_20//_SI_IV;Méthyl prednisolone 40mg/2ml injection;1208.650000;320.000000;
DOPAME_250/_CP_OR;MéthylDopa (Alpha) 250mg, Comprimé;22.230000;.000000;
ERGOME_0.12_CP_OR;Méthylergométrine 0,125mg comprimé;2.970000;.000000;
ERGOME_0.2/_SI_IV;Méthylergométrine 0,2mg injection;.000000;.000000;
ERGOME_125B_CP_OR;Méthylergométrine 125 µg, Comprimés;2.970000;.000000;
ERGOMA_200B_SI_IV;Méthylergométrine Maléate 200 µg/ml 1 ml, ampoule;26.860000;.000000;
PREDME_60//_SI_IV;Methylprednisolone 120mg/2ml injection;.000000;.000000;
METOCH_5///_AM_IV;Métoclopramide Chlorhydrate 5 mg/ml, 10 mg/2ml, ampoule;158.400000;.000000;
METOCH_10//_CP_OR;Métoclopramide Chlorhydrate, 10mg, Comprimés;7.920000;.000000;
METOPI_10//_SI_IV;Métopimazine 10mg injection;.000000;.000000;
METOPI_7.5/_CP_OR;Métopimazine 7,5mg comprimé;.000000;.000000;
METRON_25//_SP_1I;Métronidazole 125 mg / 5 ml, 100 ml susp;759.000000;2022.000000;
METRON_25//_SP_OR;Metronidazole 125mg/5ml sirop;.000000;.000000;
METRON_250/_CP_OR;Métronidazole 250 mg, sous blister, Comprimés;15.680000;76500.000000;
METRON_500/_CP_OR;Métronidazole 500 mg comprimé;15.840000;59300.000000;
METRON_500/_CP_VA;Metronidazole 500mg Ovule;.000000;.000000;
METRON_5///_AM_IV;Métronidazole 5mg/ml 500mg/100ml, (Perfusion) 100ml;646.800000;12010.000000;
METRBE_25//_SP_OR;Métronidazole Benzoate 125 mg / 5 ml, Sirop, Flacon de 100 ml;285.970000;.000000;
METUBI_500/_AM_IV;Métronidazole UBI 500S.INJ 100ML;1121.250000;.000000;
MICONA_2%//_GL_TR;Miconazole 2% Gel;.000000;.000000;
MICONA_2%//_PM_TR;Miconazole 2% Pommade ;.000000;.000000;
MICONA_2%//_CR_30;Miconazole Nitrate crème 2% 30 g, tube;404.980000;.000000;
MICOZA_2%//_PM_TR;Micozal crême 2% T/15G;1388.050000;.000000;
MICROPCRPRIN_////;Micro PCR Printer;.000000;.000000;
MICROC_SCRE1.5_//;Microcentrifuge 1,5ml screw cap;.000000;.000000;
MICROC_SCRE2ML_//;Microcentrifuge 2ml screw cap;.000000;.000000;
MICROG_////_CP_OR;Microgynon(EDFE) Boite de 3 cycles,comprimés;59.000000;.000000;
MICROL_////_CP_OR;Microlut, Boite/3cycle;177.000000;.000000;
MICPIP_100-10J_//;Micro-pipette 100-1000;.000000;.000000;
MICPIP_10-100/_//;Micro-pipette 10-100;.000000;.000000;
MICPIP_5-50///_//;Micro-pipette 5-50;.000000;.000000;
MICPCR_///////_//;Microplaque PCR demi-jupe;.000000;.000000;
MICROC_///////_//;Microscope Carl Zeiss Primo Star;.000000;.000000;
MICELE_XSZ107B_//;MICROSCOPE ELECTRIQUE + SALAIRE (MIXTE) XSZ-107BN;550000.000000;.000000;
MICRLENSCLEA_P///;Microscope lens cleaning paper;.000000;.000000;
MICROL_///////_//;MICROSCOPE OLYMPUS;.000000;.000000;
MICRPRIM_ILEDIDC/;Microscope Primo star with iLED IDC LED;.000000;.000000;
MICSLI_100////_//;Microscope Slide box polysterene for 100 slid;.000000;.000000;
MICBAD_///////_//;Microseal B Adhesive Seal;.000000;.000000;
MICTUB_CA1.5ML_//;Microtube 1,5ml avec capsule;.000000;.000000;
MICTUB_2ML////_//;Microtube plastic stérile 2ml screw caps;.000000;.000000;
MICTUB_PALS2ML_//;Microtube Plastique Sterile 2ml screw;.000000;.000000;
MICTUB_2MLMCT/_//;Microtube plastique, MCT, à centrifuger, 2ml, graduated natural;.000000;.000000;
MIDAZO_5///_SI_IV;Midazolam 5 mg/ml injection;.000000;.000000;
MINRES_///////_//;Minuterie Respiratoire;.000000;.000000;
MISFEM_200/_CP_OR;MISOFEM 200MG, B/4;741.750000;.000000;
MISOPR_////_//_VA;Misoprostol;150.000000;.000000;
MITEFO_////_CP_OR;Mitefocine comprimé;.000000;.000000;
TESTELISAHCV_AB//;Monolisa ANTI-HCV PLUS V3;.000000;.000000;
TESTELISAHBS_AG//;Monolisa HBSs Ag Ultra;.000000;.000000;
MORPHI_10//_CP_OR;Morphine 10mg comprimé;.000000;.000000;
MORPHI_2///_SP_OR;Morphine 10mg/5ml Solution orale;.000000;.000000;
MORPHI_10//_SI_IV;Morphine 10mg/ml injection;.000000;.000000;
MORPCH_10//_AM_IV;Morphine Chlorydrate 10mg/ml (1%) 1 ml, ampoule;819.700000;.000000;
MPIHIV_1-2/DC/_//;m-PIMA HIV 1/2 Detect Cartridge;.000000;.000000;
